subref	form	norm	lemma	tag	curated
2.5@τῶν	τῶν	τῶν			n
2.5@ἀνδρῶν	ἀνδρῶν	ἀνδρῶν			n
2.5@αἱ	αἱ	αἱ			n
2.5@Λάκαιναι	Λάκαιναι	λάκαιναι			n
2.5@Λάκαιναι[2]	Λάκαιναι	λάκαιναι			n
2.5@the	the	the			n
2.5@usual	usual	usual			n
2.5@form	form	form			n
2.5@λάκωναι	λάκωναι	λάκωναι			n
2.5@ὅτι	ὅτι	ὅτι			n
2.5@ἔφη	ἔφη	ἔφη			n
2.5@καὶ	καὶ	καί			n
2.5@τίκτομεν	τίκτομεν	τίκτομεν			n
2.5@μόναι[2]	μόναι	μόναι			n
2.5@ἄνδρας	ἄνδρας	ἄνδρας			n
2.6@Προτρεπομένη	Προτρεπομένη	προτρεπομένη			n
2.6@δὲ	δὲ	δέ			n
2.6@τὸν	τὸν	τόν			n
2.6@ἄνδρα	ἄνδρα	ἄνδρα			n
2.6@Λεωνίδαν	Λεωνίδαν	λεωνίδαν			n
2.6@ἐξιόντα	ἐξιόντα	ἐξιόντα			n
2.6@εἰς	εἰς	εἰς			n
2.6@Θερμοπύλας	Θερμοπύλας	θερμοπύλας			n
2.6@ἄξιον	ἄξιον	ἄξιον			n
2.6@τῆς	τῆς	τῆς			n
2.6@Σπάρτης	Σπάρτης	σπάρτης			n
2.6@φανῆναι	φανῆναι	φανῆναι			n
2.6@ἠρώτα	ἠρώτα	ἠρώτα			n
2.6@τί	τί	τί			n
2.6@χρὴ	χρὴ	χρή			n
2.6@πράττειν	πράττειν	πράττειν			n
2.6@ὁ	ὁ	ὁ			n
2.6@δὲ[2]	δὲ	δέ			n
2.6@ἔφη	ἔφη	ἔφη			n
2.6@ἀγαθὸν	ἀγαθὸν	ἀγαθόν			n
2.6@γαμεῖν	γαμεῖν	γαμεῖν			n
2.6@καὶ	καὶ	καί			n
2.6@ἀγαθὰ	ἀγαθὰ	ἀγαθά			n
2.6@τίκτειν	τίκτειν	τίκτειν			n
3.1@Γυρτιάς	Γυρτιάς	γυρτιάς			n
3.1@Ἀκροτάτου	Ἀκροτάτου	ἀκροτάτου			n
3.1@ποτὲ	ποτὲ	ποτέ			n
3.1@τοῦ	τοῦ	τοῦ			n
3.1@θυγατριδοῦ	θυγατριδοῦ	θυγατριδοῦ			n
3.1@αὐτῆς	αὐτῆς	αὐτῆς			n
3.1@ἔκ	ἔκ	ἔκ			n
3.1@τινος	τινος	τινός			n
3.1@τῶν	τῶν	τῶν			n
3.1@παίδων	παίδων	παίδων			n
3.1@μάχης	μάχης	μάχης			n
3.1@πολλὰς	πολλὰς	πολλάς			n
3.1@πληγὰς	πληγὰς	πληγάς			n
3.1@λαβόντος	λαβόντος	λαβόντος			n
3.1@καὶ	καὶ	καί			n
